"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.00013682,0.001806,-0.89508,1.7522,0.03085,295.44,0.0016675,0.0039852,0.0060909
0.00013897,0.0017913,-0.95305,1.7713,-0.050275,295.5,0.0008809,0.00061386,0.004697
0.00013902,0.0018194,-0.84149,1.7884,0.049843,295.45,0.0020711,0.0047492,0.0052179
0.0001405,0.0018166,-0.88487,1.8059,0.019209,295.47,0.001706,0.0025636,0.0048925
0.00018049,0.0017926,-0.27227,2.2641,-0.028871,295.7,-0.0027798,0.0089775,-0.0047895
0.00017915,0.0017807,-0.1908,2.2174,0.0070749,295.66,-0.0015671,0.0084647,-0.0029216
0.00018819,0.0017613,-0.13989,2.2824,-0.041544,295.7,-0.0014072,0.0095024,-0.0039556
0.00017012,0.001804,-0.27417,2.148,0.042747,295.62,-0.0013698,0.0082446,-0.0024467
0.0001744,0.0018032,-0.2852,2.2019,0.013344,295.66,-0.0022831,0.0084396,-0.0037124
0.00019266,0.001745,-0.059769,2.2856,-0.036779,295.69,-0.00039899,0.0098822,-0.003237
0.00020654,0.0017365,-0.020409,2.3899,-0.053412,295.76,0.0024233,0.0094567,-0.0076496
0.00016875,0.0018103,-0.40614,2.1548,-0.035125,295.64,-0.0036433,0.0093785,-0.0040768
0.00015319,0.0018574,-0.78752,2.004,0.010725,295.58,0.00069449,0.0026918,-0.0012629
0.00015768,0.0018376,-0.71619,2.0526,-0.049303,295.6,-0.0013099,0.0060619,-0.0039915
0.00015834,0.0018562,-0.63712,2.07,0.016982,295.61,-0.001368,0.0067112,-0.0032881
0.00016135,0.0018415,-0.58399,2.0977,-0.012943,295.62,-0.0025275,0.0080458,-0.0042014
0.00016787,0.0018332,-0.45213,2.1685,0.003981,295.65,-0.0032006,0.0084901,-0.0046823
0.00013473,0.0017995,-0.95344,1.7223,0.034367,295.46,0.00088137,0.0025127,0.0074068
0.00012761,0.0017662,-1,1.6094,0.0042486,296.47,0,0,0
0.0001263,0.0017672,-0.9544,1.5927,0.031426,295.36,0.0008497,0.0085019,0.0073841
0.0001383,0.0018054,-0.95306,1.7714,0.0067316,295.5,0.00087694,0.0004116,0.0060551
0.00014408,0.0018166,-0.89173,1.853,-0.020632,295.51,0.0014608,0.0011184,0.0031605
