Mass_fraction_of_co2,Mass_fraction_of_h2o,Points:0,Points:1,Points:2,Temperature,Velocity:0,Velocity:1,Velocity:2
0.00032672,0.0015796,0.6039,2.4528,-0.89091,295.88,0.13071,-0.10902,-0.050712
0.0003086,0.0015735,0.54618,2.4754,-1,296,0,0,0
0.00032998,0.0015847,0.59753,2.4716,-0.84646,295.88,0.12613,-0.091708,-0.066403
0.00032308,0.0015846,0.5554,2.4976,-0.85827,295.89,0.12942,-0.073647,-0.057351
0.00032816,0.0015834,0.5809,2.4568,-0.79277,295.87,0.11496,-0.079439,-0.079016
0.00033307,0.0015965,0.55905,2.4963,-0.704,295.87,0.10773,-0.049285,-0.090706
0.00032694,0.0015851,0.61914,2.4789,-0.94955,295.9,0.14597,-0.12179,-0.028084
0.00032162,0.0015811,0.58426,2.4777,-0.93611,295.89,0.14044,-0.10929,-0.030958
0.00033905,0.0015903,0.64087,2.4833,-0.86006,295.9,0.13184,-0.1043,-0.06913
0.00034307,0.0015943,0.63351,2.4918,-0.79219,295.89,0.11886,-0.087869,-0.088285
0.00034099,0.0015929,0.61934,2.4651,-0.72133,295.87,0.10481,-0.080037,-0.09995
0.0003207,0.001587,0.59993,2.5077,-1,296,0,0,0
0.00032652,0.0015866,0.58847,2.5009,-0.90714,295.9,0.14025,-0.094492,-0.043919
0.00032485,0.0015876,0.54811,2.4979,-0.80787,295.88,0.12226,-0.061588,-0.069756
0.00033607,0.0015937,0.58822,2.4915,-0.75108,295.88,0.11334,-0.067115,-0.088925
0.00033009,0.0015891,0.65506,2.4799,-1,296,0,0,0
0.0003369,0.0015902,0.6444,2.4898,-0.90639,295.9,0.14347,-0.11314,-0.051092
0.00033798,0.0015961,0.59969,2.526,-0.82092,295.9,0.12947,-0.072963,-0.074221
0.00033035,0.0015971,0.56772,2.5712,-0.88409,295.92,0.14434,-0.06282,-0.048292
0.00034303,0.0015992,0.60865,2.5251,-0.77551,295.9,0.12045,-0.069108,-0.087094
0.00032401,0.0015908,0.5821,2.5374,-0.95016,295.91,0.15085,-0.0913,-0.024441
0.00033935,0.0015955,0.62746,2.5259,-0.87429,295.91,0.14061,-0.089715,-0.061957
0.00035172,0.0016014,0.65892,2.5355,-0.81639,295.92,0.12762,-0.084661,-0.087068
0.00032596,0.0015952,0.5663,2.5723,-0.92817,295.92,0.15063,-0.070157,-0.03158
0.0003456,0.0016054,0.59011,2.5612,-0.75329,295.92,0.1197,-0.053025,-0.086246
0.00033375,0.0015986,0.55948,2.5478,-0.7943,295.91,0.12622,-0.053178,-0.073179
0.00033401,0.0015968,0.65239,2.5395,-1,296,0,0,0
0.00033695,0.001597,0.62586,2.5491,-0.92219,295.92,0.1523,-0.090588,-0.040786
0.00031946,0.001593,0.56246,2.5708,-0.97293,295.93,0.15412,-0.078513,-0.012881
0.00033792,0.0016004,0.58529,2.5684,-0.83916,295.92,0.13714,-0.060696,-0.065483
0.00032438,0.0015957,0.59864,2.5688,-1,296,0,0,0
0.00031501,0.0015947,0.54153,2.6,-1,296,0,0,0
0.00034607,0.0016019,0.6261,2.5574,-0.83274,295.92,0.13576,-0.072533,-0.075008
0.00035117,0.0016097,0.60111,2.6016,-0.77985,295.94,0.12775,-0.048397,-0.082078
0.00034277,0.0016021,0.61809,2.5769,-0.87362,295.93,0.14546,-0.070443,-0.059859
0.00033019,0.001602,0.55612,2.6186,-0.9055,295.94,0.15202,-0.049567,-0.037299
0.00035163,0.0016143,0.57033,2.6,-0.70691,295.93,0.11444,-0.035977,-0.087719
0.0003323,0.0015996,0.60164,2.5878,-0.94952,295.94,0.15774,-0.076436,-0.024327
0.00035551,0.0016058,0.64568,2.5495,-0.76223,295.92,0.1174,-0.070802,-0.097195
0.00033588,0.0016039,0.55147,2.5914,-0.8074,295.93,0.13313,-0.042825,-0.066513
0.00034129,0.0016066,0.5762,2.6158,-0.83792,295.94,0.14101,-0.046138,-0.061862
0.0003422,0.0016059,0.60446,2.6215,-0.89595,295.95,0.15288,-0.055923,-0.047438
0.00034344,0.0016103,0.55481,2.6138,-0.76706,295.94,0.1272,-0.035385,-0.074069
0.00033884,0.0016037,0.65391,2.5993,-1,296,0,0,0
0.00032811,0.0016021,0.56619,2.6285,-0.95281,295.95,0.15827,-0.055201,-0.020359
0.00033024,0.0016035,0.60081,2.6295,-1,296,0,0,0
0.0003537,0.0016089,0.64082,2.6172,-0.85932,295.95,0.14637,-0.058362,-0.068595
0.00035787,0.0016114,0.63517,2.6192,-0.81125,295.95,0.13498,-0.052749,-0.08171
0.0003626,0.0016149,0.62561,2.6096,-0.73753,295.94,0.1167,-0.047511,-0.095125
0.00033714,0.0016084,0.55847,2.664,-0.88646,295.96,0.153,-0.03481,-0.041903
0.00033932,0.0016087,0.60079,2.6729,-0.94857,295.97,0.16247,-0.043933,-0.023971
0.00035928,0.0016228,0.55718,2.6354,-0.66419,295.95,0.10813,-0.024028,-0.088657
0.00036082,0.0016204,0.57826,2.6509,-0.71615,295.96,0.11757,-0.028217,-0.086136
0.0003434,0.0016068,0.63645,2.6291,-0.9501,295.96,0.16295,-0.065625,-0.027954
0.0003227,0.0016029,0.55623,2.6559,-1,296,0,0,0
0.00035293,0.0016132,0.59676,2.6472,-0.80863,295.96,0.13715,-0.038195,-0.072665
0.00036114,0.0016181,0.59997,2.6601,-0.76295,295.97,0.12715,-0.031856,-0.082854
0.00034961,0.0016118,0.60444,2.6645,-0.8701,295.97,0.15136,-0.038476,-0.055396
