Points:0,Points:1,Points:2, Co2.Mass Fraction,
-9.22E-01,3.70E+00,-9.93E-01,1.06E-04,
-9.40E-01,3.57E+00,-9.76E-01,1.19E-04,
-9.22E-01,3.58E+00,-9.93E-01,1.18E-04,
-9.75E-01,3.57E+00,-9.40E-01,1.15E-04,
-9.93E-01,3.58E+00,-9.22E-01,1.15E-04,
-9.75E-01,3.72E+00,-9.40E-01,1.10E-04,
-9.93E-01,3.70E+00,-9.22E-01,1.13E-04,
-9.40E-01,3.69E+00,-9.75E-01,1.09E-04,
-9.22E-01,3.67E+00,-9.93E-01,1.09E-04,
-9.76E-01,3.69E+00,-9.39E-01,1.13E-04,
-9.93E-01,3.67E+00,-9.22E-01,1.15E-04,
-9.39E-01,3.60E+00,-9.76E-01,1.17E-04,
-9.22E-01,3.61E+00,-9.93E-01,1.16E-04,
-9.74E-01,3.60E+00,-9.41E-01,1.16E-04,
-9.93E-01,3.61E+00,-9.22E-01,1.16E-04,
-9.42E-01,3.65E+00,-9.73E-01,1.12E-04,
-9.22E-01,3.64E+00,-9.93E-01,1.12E-04,
-9.37E-01,3.63E+00,-9.79E-01,1.14E-04,
-9.76E-01,3.63E+00,-9.40E-01,1.16E-04,
-9.93E-01,3.64E+00,-9.22E-01,1.16E-04,
-9.76E-01,3.66E+00,-9.39E-01,1.15E-04,
-9.58E-01,3.38E+00,-9.58E-01,9.75E-05,
-9.58E-01,3.41E+00,-9.58E-01,1.04E-04,
-9.58E-01,3.44E+00,-9.58E-01,1.10E-04,
-9.58E-01,3.47E+00,-9.58E-01,1.14E-04,
-9.58E-01,3.49E+00,-9.58E-01,1.16E-04,
-9.57E-01,3.52E+00,-9.58E-01,1.17E-04,
-9.57E-01,3.56E+00,-9.58E-01,1.18E-04,
-9.57E-01,3.59E+00,-9.58E-01,1.17E-04,
-9.55E-01,3.62E+00,-9.60E-01,1.15E-04,
-9.58E-01,3.88E+00,-9.58E-01,8.33E-05,
-9.58E-01,3.85E+00,-9.58E-01,8.90E-05,
-9.58E-01,3.82E+00,-9.58E-01,9.40E-05,
-9.58E-01,3.79E+00,-9.58E-01,9.86E-05,
-9.58E-01,3.76E+00,-9.58E-01,1.03E-04,
-9.58E-01,3.73E+00,-9.57E-01,1.06E-04,
-9.58E-01,3.70E+00,-9.57E-01,1.09E-04,
-9.59E-01,3.67E+00,-9.56E-01,1.12E-04,
-9.61E-01,3.65E+00,-9.54E-01,1.14E-04,
-9.93E-01,5.19E+00,-9.22E-01,4.93E-05,
-9.78E-01,5.17E+00,-9.38E-01,4.84E-05,
-9.93E-01,5.16E+00,-9.22E-01,5.00E-05,
-9.69E-01,5.19E+00,-9.46E-01,4.76E-05,
-9.22E-01,5.19E+00,-9.93E-01,4.43E-05,
-9.38E-01,5.17E+00,-9.78E-01,4.40E-05,
-9.46E-01,5.19E+00,-9.69E-01,4.55E-05,
-9.22E-01,5.16E+00,-9.93E-01,4.26E-05,
-9.40E-01,4.62E+00,-9.75E-01,6.09E-05,
-9.22E-01,4.62E+00,-9.93E-01,6.25E-05,
-9.22E-01,4.59E+00,-9.93E-01,6.28E-05,
-9.46E-01,4.59E+00,-9.69E-01,6.08E-05,
-9.93E-01,4.62E+00,-9.22E-01,5.51E-05,
-9.75E-01,4.62E+00,-9.40E-01,5.69E-05,
-9.93E-01,4.59E+00,-9.22E-01,5.65E-05,
-9.69E-01,4.59E+00,-9.46E-01,5.87E-05,
-9.40E-01,5.15E+00,-9.75E-01,4.25E-05,
-9.22E-01,5.13E+00,-9.93E-01,4.00E-05,
-9.75E-01,5.15E+00,-9.40E-01,4.84E-05,
-9.93E-01,5.13E+00,-9.22E-01,5.08E-05,
-9.75E-01,4.64E+00,-9.40E-01,5.51E-05,
-9.93E-01,4.65E+00,-9.22E-01,5.39E-05,
-9.40E-01,4.64E+00,-9.75E-01,5.90E-05,
-9.22E-01,4.65E+00,-9.93E-01,6.06E-05,
-9.40E-01,5.12E+00,-9.75E-01,4.05E-05,
-9.22E-01,5.10E+00,-9.93E-01,3.77E-05,
-9.75E-01,5.12E+00,-9.40E-01,4.89E-05,
-9.93E-01,5.10E+00,-9.22E-01,5.13E-05,
-9.75E-01,4.67E+00,-9.40E-01,5.27E-05,
-9.93E-01,4.68E+00,-9.22E-01,5.24E-05,
-9.40E-01,4.67E+00,-9.75E-01,5.52E-05,
-9.22E-01,4.68E+00,-9.93E-01,5.64E-05,
-9.58E-01,5.17E+00,-9.58E-01,4.57E-05,
-9.40E-01,5.09E+00,-9.75E-01,3.91E-05,
-9.22E-01,5.07E+00,-9.93E-01,3.58E-05,
-9.75E-01,5.09E+00,-9.40E-01,4.91E-05,
-9.93E-01,5.07E+00,-9.22E-01,5.18E-05,
-9.75E-01,4.70E+00,-9.40E-01,5.05E-05,
-9.93E-01,4.71E+00,-9.22E-01,5.13E-05,
-9.40E-01,4.70E+00,-9.75E-01,5.01E-05,
-9.22E-01,4.71E+00,-9.93E-01,4.93E-05,
-9.40E-01,5.06E+00,-9.75E-01,3.73E-05,
