"Mass_fraction_of_co2","Mass_fraction_of_h2o","Points:0","Points:1","Points:2","Temperature","Velocity:0","Velocity:1","Velocity:2"
0.00011143,0.0016034,0.92121,1.0904,0.57299,295.17,-0.0053394,-0.23889,-0.0083001
0.0001084,0.0016422,0.89685,1.0932,0.4851,295.1,0.0057936,-0.080171,0.03883
0.00010192,0.0016164,0.95628,1.0583,0.30925,295.04,0.0043482,0.00039862,0.054714
0.00010511,0.0016343,0.90402,1.0852,0.38024,295.04,0.0080384,-0.023443,0.047645
0.00010701,0.0016371,0.926,1.0732,0.45436,295.09,0.0017804,-0.066799,0.046157
9.2183e-05,0.0015548,0.88329,0.94079,0.10214,294.8,0.025941,0.077873,0.0059155
8.6558e-05,0.0014998,0.908,0.83909,0.051305,294.7,0.044232,0.10616,-0.0077669
9.0321e-05,0.0015356,0.95001,0.894,0.10437,294.79,0.023842,0.068567,0.014499
9.3375e-05,0.0015602,1,0.94644,0.1668,296.13,0,0,0
9.3529e-05,0.0015628,0.95004,0.96399,0.13695,294.87,0.013872,0.05885,0.025363
8.9618e-05,0.0015319,0.89996,0.894,0.074714,294.76,0.03152,0.089557,-0.00029254
9.9816e-05,0.0016065,0.90449,1.0319,0.26111,294.95,0.011178,0.022129,0.037873
9.6027e-05,0.0015821,0.90625,0.98532,0.18627,294.88,0.01566,0.048735,0.025638
0.00010404,0.0016271,0.95128,1.0784,0.3522,295.06,0.004434,-0.016187,0.055996
9.9626e-05,0.0013372,0.93261,0.9666,0.89249,295.64,-0.053568,-1.038,-0.068027
8.1256e-05,0.0009807,0.96986,1.0222,0.8165,295.05,-0.033916,-2.1624,-0.33629
8.4802e-05,0.0010484,0.97221,0.99375,0.85019,295.27,-0.029411,-1.9066,-0.2264
9.5178e-05,0.001216,0.91993,1.0187,0.80968,295.13,-0.04692,-1.5022,-0.22927
8.9193e-05,0.0011161,0.94821,1.0076,0.83463,295.17,-0.046821,-1.7745,-0.24015
9.8247e-05,0.0012961,0.92097,1.0098,0.86096,295.3,-0.017447,-1.239,-0.1401
8.7894e-05,0.0010462,0.96272,1.0591,0.74623,294.98,-0.028108,-1.9496,-0.40135
9.1629e-05,0.0011175,0.94069,1.0496,0.75864,295.02,-0.051005,-1.7884,-0.34712
9.5885e-05,0.0012064,0.9194,1.0454,0.77473,295.07,-0.046701,-1.5369,-0.2625
9.9274e-05,0.0011962,1,1.0726,0.68096,295.74,0,0,0
0.00010028,0.0012404,0.94013,1.0872,0.71327,295.08,-0.020579,-1.3823,-0.28188
0.00010637,0.0013442,0.95907,1.0811,0.65881,295.16,-0.014349,-1.0029,-0.22981
0.00010841,0.0016383,1,1.0824,0.47435,296.36,0,0,0
0.00011334,0.0015675,0.96017,1.11,0.59253,295.24,-0.0031029,-0.33496,-0.039288
0.00011162,0.0015558,0.90644,1.1001,0.6174,295.16,-0.010267,-0.39944,-0.054659
0.00011098,0.0016385,0.90039,1.1195,0.54131,295.14,0.0041706,-0.12739,0.027526
0.00010078,0.0016093,1,1.0496,0.29223,296.24,0,0,0
0.00010688,0.00164,0.91855,1.1007,0.41975,295.07,0.0066593,-0.041268,0.050248
9.5804e-05,0.0012509,0.97111,0.94391,0.91569,296.68,-0.083229,-1.0929,0.02087
0.00010593,0.0014849,0.95398,0.95539,0.96117,351.28,0,0,0
9.6049e-05,0.0015799,1,0.99884,0.19866,296.15,0,0,0
8.6761e-05,0.0015005,0.97129,0.8472,0.049068,294.7,0,0,0
8.9288e-05,0.0015263,1,0.894,0.07568,295.41,0,0,0
8.3515e-05,0.0014624,0.94593,0.7987,0.022788,294.64,0,0,0
9.8099e-05,0.0015944,0.94931,1.0161,0.22987,294.96,0.0080999,0.029533,0.0431
0.00010336,0.0016252,0.90541,1.0902,0.30778,295,0.010467,0.0051389,0.044017
9.8626e-05,0.0013085,0.95136,0.98089,0.90533,295.99,-0.017266,-1.105,-0.077566
9.282e-05,0.0011921,0.97584,0.96607,0.90466,296.08,-0.038704,-1.3501,-0.053512
0.00010891,0.0014119,0.92985,1.1049,0.6677,295.15,-0.012969,-0.84207,-0.17316
0.00010861,0.0016424,0.95249,1.1116,0.45876,295.14,0.0034905,-0.063612,0.052612
0.00010627,0.0016352,0.96191,1.0793,0.42262,295.13,0.0022388,-0.049618,0.057053
0.0001117,0.0016356,1,1.1094,0.52821,296.41,0,0,0
0.00011234,0.0016227,0.89063,1.1315,0.58593,295.15,0.0046043,-0.19969,0.0077339
0.00010389,0.0016248,1,1.0999,0.32618,296.23,0,0,0
0.0001068,0.0016426,0.88634,1.1206,0.3931,295.05,0.011899,-0.023376,0.04658
0.00010249,0.0014009,0.93883,0.96384,0.91963,296.39,-0.03304,-0.81904,-0.031372
0.00010848,0.0015818,0.93565,0.9602,0.97949,336.11,0,0,0
0.00010046,0.0013436,0.96156,0.96945,0.92325,297.2,-0.018002,-0.93686,-0.032794
9.0654e-05,0.0015437,0.88365,0.93649,0.046194,294.77,0.029378,0.091194,-0.0063465
9.4575e-05,0.0015719,0.90781,0.98622,0.12963,294.85,0.018803,0.064866,0.016237
9.4324e-05,0.0015679,1,0.99902,0.13774,296.09,0,0,0
9.9091e-05,0.0015991,1,1.0514,0.23165,296.17,0,0,0
0.0001011,0.0016117,0.94773,1.0687,0.26349,295,0.0070351,0.017733,0.047482
0.00010654,0.0016377,0.95028,1.1138,0.39087,295.09,0.0052937,-0.029843,0.05619
9.5868e-05,0.0012516,0.94575,0.99622,0.8818,295.52,-0.021439,-1.3179,-0.12587
8.1082e-05,0.00098452,0.97493,1.0313,0.84336,295.15,-0.01975,-2.1509,-0.29713
9.2065e-05,0.0011434,0.93246,1.0657,0.80448,295.07,-0.02324,-1.728,-0.28445
9.2322e-05,0.0011671,0.93547,1.0367,0.83311,295.16,-0.028193,-1.6475,-0.23207
9.9936e-05,0.0012569,0.91378,1.0984,0.75964,295.08,-0.021226,-1.3755,-0.23683
8.8957e-05,0.0010526,0.96652,1.105,0.74362,294.98,-0.030262,-1.9393,-0.40122
0.00010752,0.0016396,1,1.112,0.42427,296.29,0,0,0
0.00011464,0.0015933,1,1.137,0.5808,296.34,0,0,0
0.00011136,0.00145,0.95583,1.1255,0.6401,295.21,-0.012254,-0.68559,-0.14254
0.00011245,0.0016281,0.94908,1.1243,0.55337,295.2,-0.0014965,-0.15773,0.021872
0.00011329,0.0015643,0.92799,1.1339,0.61393,295.19,-0.0059417,-0.37247,-0.035896
0.00010857,0.0016476,0.899,1.1403,0.4274,295.08,0.01128,-0.037582,0.04851
